Species	protein	log(e)2	% (measured)	% (corrected)	unique	total	Mr	upper	lower	1	2	3	4	5	6	7	8	9	10	11	light	heavy	Total
NA	gi|16128446|	-720.8	50	85	50	653	113.5	35	NA	28	75	28	74	36	87	25	93	11	36	38	26	61	653
NA	gi|16128447|	-470.4	84	100+	33	406	42.2	71	23	38	34	27	31	10	17	20	28	10	33	8	17	39	406
NA	gi|16128449|	-224.9	16	25	21	71	127.1	NA	NA	7	3	1	1	5	2	6	5	3	5	1	25	7	71
NA	gi|16128451|	-6	6.3	8	1	2	20.4	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	2
NA	gi|16128452|	-2.3	5.6	24	1	2	14.8	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	gi|16128453|	-12.8	12	13	1	1	19.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	gi|16128454|	-44.1	7.3	10	5	9	71.1	NA	NA	NA	1	NA	5	NA	2	NA	1	NA	NA	NA	NA	NA	9
NA	gi|16128455|	-22.3	26	29	2	4	12	NA	NA	1	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4
NA	gi|16128457|	-88.4	16	20	8	20	71.4	NA	NA	7	5	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	20
NA	gi|16128458|	-151.2	63	78	13	157	23.6	NA	17	13	13	11	14	6	12	8	10	11	9	4	19	10	157
NA	gi|16128459|	-35.5	17	24	4	6	35.9	NA	NA	NA	1	NA	2	NA	1	NA	2	NA	NA	NA	NA	NA	6
NA	gi|16128461|	-15.2	8.3	9	2	4	48.4	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4
NA	gi|16128462|	-41.3	13	30	5	7	59.4	1	NA	NA	1	NA	2	NA	1	NA	2	NA	NA	NA	NA	NA	7
NA	gi|16128463|	-2.9	2	10	1	1	43.3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128464|	-368.9	67	85	31	133	60.8	31	2	10	13	6	11	3	5	3	9	NA	4	1	7	28	133
NA	gi|16128468|	-5.6	1.7	3	1	4	87.8	NA	NA	NA	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	4
NA	gi|16128473|	-120.9	52	68	11	37	33.7	NA	7	NA	4	NA	7	1	3	1	10	NA	NA	NA	1	3	37
NA	gi|16128477|	-109.1	36	41	9	43	29.4	NA	6	NA	7	1	7	NA	8	NA	9	NA	1	2	1	1	43
NA	gi|16128478|	-142.5	75	85	13	60	23.6	1	13	5	4	3	6	1	1	NA	2	1	4	NA	9	10	60
NA	gi|16128480|	-6.5	2.2	4	1	1	89.3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128498|	-36.5	13	19	4	9	38.7	NA	NA	NA	NA	NA	5	NA	2	NA	2	NA	NA	NA	NA	NA	9
NA	gi|16128509|	-51.9	45	75	6	10	18.1	NA	1	3	1	4	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	10
NA	gi|16128510|	-6.5	2.6	4	1	1	52.2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128513|	-2.5	2.4	6	1	1	31	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128528|	-65.4	31	44	5	23	19.5	NA	5	2	NA	2	NA	2	1	1	2	NA	3	NA	NA	5	23
NA	gi|16128538|	-15	12	20	2	5	18	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5
NA	gi|16128539|	-9.2	5.9	9	1	14	17.2	NA	5	NA	1	NA	2	NA	NA	NA	1	NA	NA	NA	2	3	14
NA	gi|16128540|	-19	35	38	2	21	10.4	NA	5	1	3	1	3	1	1	NA	1	NA	1	2	1	1	21
NA	gi|16128548|	-153	47	61	12	46	35.5	3	18	NA	NA	NA	3	NA	4	1	2	NA	NA	NA	6	9	46
NA	gi|16128553|	-33.6	10	14	3	6	53.7	NA	NA	NA	2	NA	1	NA	1	NA	1	NA	NA	NA	NA	1	6
NA	gi|16128554|	-15	6.6	10	1	3	25.4	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	3
NA	gi|16128555|	-430.7	77	100+	33	288	50.2	81	16	9	20	10	22	8	17	8	21	1	8	10	15	42	288
NA	gi|16128567|	-2376.2	94	100+	155	2830	82.1	868	273	57	132	56	155	56	102	49	137	27	77	50	256	535	2830
NA	gi|16128571|	-7.5	8.1	11	1	1	29.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	gi|16128573|	-3.3	6.6	11	1	1	33.8	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128575|	-150.5	54	87	11	71	34.3	5	24	3	2	4	6	1	1	1	3	1	3	1	3	13	71
NA	gi|16128579|	-8.2	6	7	1	1	26.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	gi|16128588|	-346.7	65	74	26	476	20.7	3	26	41	39	43	48	32	51	26	48	26	33	21	24	15	476
NA	gi|16128590|	-63.3	63	72	6	21	15.9	NA	NA	1	3	1	3	NA	3	NA	4	NA	NA	NA	6	NA	21
NA	gi|16128591|	-28.4	13	14	3	9	44.1	NA	NA	NA	2	1	2	NA	2	NA	2	NA	NA	NA	NA	NA	9
NA	gi|16128594|	-164.6	63	81	13	68	29.6	NA	22	6	3	5	5	NA	3	NA	5	NA	1	NA	4	14	68
NA	gi|16128607|	-7.8	6.3	11	1	11	13.8	NA	NA	1	1	NA	NA	1	2	1	1	1	1	1	NA	1	11
NA	gi|16128610|	-2.6	15	24	1	1	7	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128614|	-12.6	21	24	1	2	9.8	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	2
NA	gi|16128615|	-383.4	68	83	29	411	44.4	50	44	32	32	37	35	22	23	21	21	12	23	19	23	17	411
NA	gi|16128616|	-390.5	68	100+	31	396	37.5	88	74	13	22	15	28	6	16	5	23	3	8	8	28	59	396
NA	gi|16128617|	-12.2	7.8	27	2	3	40.4	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	3
NA	gi|16128618|	-55.7	12	14	7	11	70.8	2	NA	NA	1	NA	2	NA	1	NA	1	NA	NA	NA	NA	4	11
NA	gi|16128619|	-2.8	5.2	6	1	2	17.3	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	2
NA	gi|16128624|	-453.1	80	97	34	519	21.3	16	155	13	25	23	27	19	25	14	37	12	25	11	45	72	519
NA	gi|16128625|	-115.4	15	20	10	47	97.2	NA	NA	11	4	12	4	3	1	5	3	NA	4	NA	NA	NA	47
NA	gi|16128626|	-11.3	9.4	11	2	3	18.8	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	NA	3
NA	gi|16128634|	-5.9	3.9	7	1	3	33.8	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	gi|16128636|	-58.5	22	26	6	25	24.9	NA	4	NA	4	NA	5	NA	3	NA	4	NA	NA	2	NA	3	25
NA	gi|16128637|	-82.8	30	51	7	54	27.5	NA	15	1	5	3	5	NA	5	NA	7	NA	NA	3	NA	10	54
NA	gi|16128638|	-1857.2	92	100+	128	3292	33.4	347	1152	162	104	158	133	100	57	112	100	82	120	31	182	452	3292
NA	gi|16128640|	-163.6	35	54	15	49	57	NA	NA	NA	7	NA	11	NA	8	NA	12	NA	NA	NA	3	8	49
NA	gi|16128641|	-31.6	12	20	4	20	33.3	NA	NA	4	4	3	3	1	1	NA	2	NA	2	NA	NA	NA	20
NA	gi|16128644|	-28.2	9.5	11	3	5	53.6	NA	NA	NA	1	1	2	NA	NA	NA	1	NA	NA	NA	NA	NA	5
NA	gi|16128645|	-111.4	30	46	10	42	42.9	1	1	5	6	6	7	3	3	2	3	NA	3	2	NA	NA	42
NA	gi|16128650|	-45.7	9.4	11	4	13	62.6	NA	NA	2	2	1	2	NA	1	NA	5	NA	NA	NA	NA	NA	13
NA	gi|16128651|	-33.6	25	34	4	9	27.1	NA	NA	2	NA	4	NA	1	NA	1	NA	NA	1	NA	NA	NA	9
NA	gi|16128652|	-40.7	11	12	5	11	44.5	NA	NA	NA	2	NA	5	NA	1	NA	3	NA	NA	NA	NA	NA	11
NA	gi|16128653|	-47.2	18	22	5	17	40.9	NA	NA	3	NA	1	2	2	2	4	1	NA	2	NA	NA	NA	17
NA	gi|16128654|	-36.2	17	20	4	13	29.8	NA	NA	5	1	3	NA	1	NA	1	NA	NA	2	NA	NA	NA	13
NA	gi|16128655|	-354.1	46	100+	26	193	68.3	2	2	4	24	7	28	6	36	6	34	3	12	14	4	11	193
NA	gi|16128656|	-353.2	57	66	33	198	63.4	1	NA	26	20	14	19	12	18	16	26	7	14	11	11	3	198
NA	gi|16128657|	-67.8	18	27	7	19	52.7	NA	NA	NA	7	NA	8	NA	NA	NA	1	NA	NA	NA	1	2	19
NA	gi|16128658|	-46.6	44	73	5	20	12	NA	8	1	2	NA	2	NA	1	NA	NA	NA	NA	NA	3	3	20
NA	gi|16128659|	-48.1	30	36	4	35	16.8	NA	1	3	4	4	5	1	4	2	4	1	3	2	1	NA	35
NA	gi|16128660|	-48.5	39	58	4	19	19.7	NA	1	4	NA	1	NA	1	1	1	1	5	2	NA	1	1	19
NA	gi|16128663|	-19.6	13	15	2	6	20.3	NA	NA	NA	NA	1	1	NA	1	NA	2	NA	NA	NA	1	NA	6
NA	gi|16128664|	-91.7	27	33	10	17	58.3	NA	NA	4	NA	4	1	1	NA	1	1	NA	4	NA	1	NA	17
NA	gi|16128675|	-7.8	13	16	1	2	8.3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	gi|16128682|	-4.1	5.9	7	1	1	20.2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128685|	-42.2	28	44	5	13	26.9	NA	NA	2	2	1	1	2	1	2	2	NA	NA	NA	NA	NA	13
NA	gi|16128686|	-2.2	5.5	11	1	1	23.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1
NA	gi|16128687|	-19.6	7.1	11	2	2	34.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
NA	gi|16128695|	-271.6	59	70	21	224	48	4	NA	25	29	39	25	12	10	21	8	13	24	3	6	5	224
NA	gi|16128696|	-116.4	32	67	8	88	14.3	NA	9	3	14	4	17	NA	12	NA	17	NA	2	4	NA	6	88
NA	gi|16128697|	-29.8	16	35	3	34	12.9	NA	NA	1	6	2	6	NA	7	NA	6	NA	NA	3	NA	3	34
NA	gi|16128698|	-509.6	68	77	36	396	64.4	62	25	23	48	22	47	6	37	8	39	3	14	16	9	37	396
NA	gi|16128699|	-240	67	80	22	259	26.8	4	44	14	25	13	32	8	27	8	27	5	10	12	6	24	259
NA	gi|16128701|	-611.9	59	72	44	480	105	13	NA	50	67	54	76	19	55	17	45	7	24	18	17	18	480
NA	gi|16128702|	-739	78	100+	55	619	44	41	50	23	79	24	85	21	72	14	95	6	22	43	12	32	619
NA	gi|16128703|	-330.9	71	89	28	307	41.4	7	5	47	20	41	27	20	24	26	24	16	24	9	8	9	307
NA	gi|16128704|	-203.9	69	72	18	156	29.8	NA	7	17	16	21	18	6	8	10	12	7	9	4	13	8	156
NA	gi|16128707|	-2.2	0.9	1	1	1	100	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128709|	-72.8	13	73	7	62	42.4	2	2	2	7	2	9	2	8	1	7	1	3	2	8	6	62
NA	gi|16128710|	-2.3	10	91	1	1	10.9	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128712|	-174.8	42	67	12	86	25.6	3	32	NA	8	NA	9	NA	6	NA	11	NA	NA	1	2	14	86
NA	gi|16128713|	-53.6	27	76	5	25	15.4	NA	9	NA	4	1	4	NA	1	NA	1	NA	NA	NA	NA	5	25
NA	gi|16128714|	-154.8	29	45	14	39	43.1	20	NA	NA	3	1	5	NA	NA	NA	1	NA	NA	NA	NA	9	39
NA	gi|16128715|	-754.4	71	100+	51	1288	45.9	312	119	59	70	57	76	38	41	35	57	26	48	29	63	258	1288
NA	gi|16128716|	-478	83	100+	33	474	18.8	17	156	12	26	10	28	12	28	8	24	11	14	14	23	91	474
NA	gi|16128717|	-360.9	65	91	23	228	28.2	8	52	12	15	15	24	8	7	3	19	2	8	3	13	39	228
NA	gi|16128719|	-10.6	5.9	61	2	2	27	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	2
NA	gi|16128720|	-3.2	7	38	1	1	34.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1
NA	gi|16128721|	-52.2	40	100+	4	11	12.9	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	11
NA	gi|16128722|	-138.7	38	50	11	79	38	NA	NA	7	9	7	13	5	10	6	9	1	7	2	3	NA	79
NA	gi|16128723|	-240.2	75	95	20	135	28.5	NA	3	16	12	16	8	11	12	13	6	11	12	4	6	5	135
NA	gi|16128725|	-2.2	5.5	8	1	1	41.4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128726|	-7	2.6	3	1	1	39.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	gi|16128729|	-46.2	28	38	6	13	28.3	NA	NA	1	2	2	3	NA	3	1	1	NA	NA	NA	NA	NA	13
NA	gi|16128731|	-241.6	73	79	20	82	27.3	1	24	5	2	8	3	4	2	1	2	NA	4	NA	11	15	82
NA	gi|16128732|	-4	7.9	10	1	1	24.9	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128733|	-3	1.7	2	1	5	39.1	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	gi|16128734|	-14	8.1	10	2	4	30.2	NA	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	4
NA	gi|16128735|	-11.3	7.3	11	2	2	36.3	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	2
NA	gi|16128740|	-339.3	71	100+	23	337	46.1	67	28	14	24	12	27	10	22	12	23	6	18	9	18	47	337
NA	gi|16128748|	-49.5	18	24	5	16	32.8	NA	NA	NA	2	NA	4	NA	4	NA	4	NA	NA	NA	2	NA	16
NA	gi|16128750|	-59.6	34	49	6	41	18.7	NA	NA	8	3	5	3	6	2	5	2	1	5	NA	1	NA	41
NA	gi|16128751|	-44	27	36	5	17	17.5	NA	NA	1	1	1	1	1	3	1	4	NA	1	1	2	NA	17
NA	gi|16128752|	-15	25	26	1	42	8.8	NA	2	7	2	3	2	4	2	4	3	4	6	2	1	NA	42
NA	gi|16128754|	-45.3	12	39	5	79	25.9	5	1	4	12	4	12	3	13	3	8	1	3	NA	3	7	79
NA	gi|16128758|	-14.4	7.5	10	2	2	28.8	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2
NA	gi|16128760|	-13.6	6	11	2	3	41.5	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	1	3
NA	gi|16128761|	-3	1.9	5	1	2	42	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2
NA	gi|16128763|	-216.9	83	99	21	92	36.4	1	22	10	10	10	10	2	5	3	6	2	10	NA	1	NA	92
NA	gi|16128765|	-112.2	32	40	11	30	50	NA	NA	NA	4	NA	8	1	8	1	7	NA	NA	1	NA	NA	30
NA	gi|16128767|	-15.7	3.2	4	2	4	81.4	2	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4
NA	gi|16128768|	-135.8	45	60	11	82	35	NA	3	8	5	11	6	5	12	5	12	2	2	2	4	5	82
NA	gi|16128769|	-29	9.4	14	3	12	38.9	NA	NA	NA	2	1	2	NA	2	1	3	NA	NA	NA	1	NA	12
NA	gi|16128773|	-276.1	40	57	22	46	81.9	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	19	46
NA	gi|16128778|	-25.3	8.7	12	3	5	24.3	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	3	5
NA	gi|16128779|	-756.3	90	100+	53	951	27.2	60	248	54	40	54	38	43	32	34	34	22	50	16	91	135	951
NA	gi|16128780|	-497.7	92	100+	39	783	18.7	6	46	62	57	62	62	61	47	60	44	51	79	26	81	39	783
NA	gi|16128781|	-4.8	4.7	67	1	4	31.1	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	4
NA	gi|16128782|	-573.1	86	100+	36	1425	18.6	27	271	56	88	52	103	57	98	54	107	40	64	53	153	202	1425
NA	gi|16128785|	-5.2	9	11	1	1	17.6	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128787|	-245.4	61	92	18	101	33.3	11	40	1	5	NA	9	NA	1	NA	7	NA	NA	2	5	20	101
NA	gi|16128788|	-52.8	13	17	5	7	59.8	NA	NA	NA	NA	2	4	NA	NA	NA	NA	NA	NA	NA	NA	1	7
NA	gi|16128794|	-13.3	7.6	14	2	4	26.7	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	4
NA	gi|16128798|	-671	79	97	45	452	56.4	117	NA	27	30	24	33	16	20	17	31	10	24	8	14	81	452
NA	gi|16128799|	-7	2.9	5	1	1	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	gi|16128800|	-4.2	2.6	5	1	1	33.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1
NA	gi|16128805|	-12	8.6	10	1	1	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	gi|16128807|	-307.8	65	76	22	173	43.6	22	26	16	14	12	17	13	7	8	11	NA	16	1	3	7	173
NA	gi|16128822|	-86.1	31	36	9	37	40.8	7	11	6	NA	5	1	1	NA	3	NA	NA	1	NA	NA	2	37
NA	gi|16128828|	-262.6	81	100	21	120	26.8	3	28	11	7	13	5	3	3	4	6	2	3	1	7	24	120
NA	gi|16128830|	-14.4	6.7	20	1	3	26.2	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	3
NA	gi|16128831|	-430.2	86	100+	30	362	26.9	10	98	17	18	19	15	14	23	12	18	4	18	10	36	50	362
NA	gi|16128832|	-53.4	29	44	4	16	27	NA	4	NA	3	NA	3	NA	2	NA	1	NA	NA	NA	1	2	16
NA	gi|16128833|	-320.9	75	92	23	256	19	7	57	8	16	9	17	11	15	8	19	5	7	7	22	48	256
NA	gi|16128834|	-96.3	32	35	9	129	11.4	2	18	11	2	12	4	10	3	9	2	7	13	1	32	3	129
NA	gi|16128835|	-193.7	64	80	15	38	31.1	NA	13	NA	2	NA	5	NA	1	NA	4	NA	NA	NA	2	11	38
NA	gi|16128838|	-84.3	26	35	8	42	36.5	NA	NA	4	3	8	3	4	2	4	6	1	4	1	2	NA	42
NA	gi|16128839|	-265.2	44	62	22	161	62	1	NA	18	13	17	16	15	11	13	12	9	14	6	12	4	161
NA	gi|16128847|	-5	1.7	2	1	1	70.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	gi|16128850|	-130.5	21	27	14	54	84.2	NA	NA	2	5	3	12	2	9	2	11	NA	3	3	2	NA	54
NA	gi|16128853|	-100.6	25	42	10	18	62.9	1	NA	NA	3	NA	4	NA	2	NA	4	NA	NA	NA	NA	4	18
NA	gi|16128854|	-100.7	22	34	9	27	65	3	NA	NA	5	NA	5	NA	1	NA	7	NA	NA	NA	NA	6	27
NA	gi|16128855|	-105.4	47	61	9	29	34.6	NA	NA	7	NA	8	NA	3	NA	5	NA	1	5	NA	NA	NA	29
NA	gi|16128856|	-125	53	69	13	59	18.9	NA	4	6	4	6	3	4	5	2	6	2	4	4	5	4	59
NA	gi|16128860|	-75.2	23	31	8	27	48.4	NA	NA	8	NA	7	1	3	1	3	1	NA	3	NA	NA	NA	27
NA	gi|16128864|	-123.6	60	84	9	116	23.1	NA	NA	16	9	10	10	10	8	11	9	12	14	4	2	1	116
NA	gi|16128865|	-11.3	3.1	10	2	3	41.4	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	3
NA	gi|16128869|	-37.2	20	22	4	15	28.2	NA	NA	1	3	2	4	NA	1	NA	3	NA	NA	NA	1	NA	15
NA	gi|16128870|	-382.6	56	69	32	222	85.3	5	NA	32	30	30	27	16	13	16	16	9	15	9	2	2	222
NA	gi|16128874|	-111.3	34	51	10	42	39.8	NA	1	12	NA	8	1	4	NA	5	NA	6	5	NA	NA	NA	42
NA	gi|16128875|	-24.4	7.5	12	3	3	46.1	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	gi|16128877|	-13.7	9.3	13	2	3	24.7	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	gi|16128878|	-512.7	59	68	41	272	61.1	NA	NA	49	32	52	33	13	20	10	22	3	13	4	12	9	272
NA	gi|16128879|	-83.1	61	89	7	71	10.6	NA	1	5	7	4	8	2	12	4	7	1	4	7	3	6	71
NA	gi|16128881|	-278.2	44	65	24	83	64.4	16	NA	NA	11	NA	15	NA	14	NA	15	NA	NA	2	2	8	83
NA	gi|16128882|	-5.2	4.6	5	1	1	35.6	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128885|	-33.1	16	18	3	5	27.6	NA	NA	2	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	5
NA	gi|16128887|	-89.9	38	44	9	43	28.6	NA	3	2	5	1	6	1	7	NA	8	NA	2	3	NA	5	43
NA	gi|16128888|	-2.8	5	10	1	1	29.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1
NA	gi|16128891|	-100	6.6	8	11	23	170.1	NA	NA	NA	2	1	5	NA	6	NA	7	NA	NA	2	NA	NA	23
NA	gi|16128892|	-265.6	44	60	21	58	67.8	26	2	NA	2	NA	6	NA	2	NA	4	NA	NA	NA	2	14	58
NA	gi|16128895|	-299.4	61	80	25	199	43.5	4	4	28	10	36	10	23	4	24	4	16	29	NA	4	3	199
NA	gi|16128896|	-3232.5	94	100+	217	15016	39.3	2229	4961	552	765	687	968	323	311	430	545	239	562	147	722	1575	15016
NA	gi|16128897|	-167.8	32	38	14	116	52.5	2	NA	12	13	15	16	6	8	8	9	4	7	5	8	3	116
NA	gi|16128899|	-205.8	22	29	18	96	98.9	NA	NA	22	7	21	2	10	3	10	1	6	12	NA	NA	2	96
NA	gi|16128908|	-18	7	12	3	3	37.8	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	3
NA	gi|16128912|	-214.7	57	59	18	102	36.8	2	9	5	13	5	18	1	9	6	12	3	9	3	5	2	102
NA	gi|16128914|	-53.4	22	24	5	20	40.6	NA	NA	1	4	1	6	NA	4	NA	2	NA	NA	NA	2	NA	20
NA	gi|16128915|	-105.3	17	22	11	19	78.8	NA	1	NA	2	NA	5	NA	3	NA	6	NA	NA	NA	1	1	19
NA	gi|16128916|	-2.6	1.7	2	1	1	72	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1
NA	gi|16128918|	-471.3	68	87	33	359	60.5	36	14	17	31	21	43	16	39	14	40	5	19	20	17	27	359
NA	gi|16128921|	-89.1	43	76	9	64	19	NA	4	11	4	6	3	6	5	4	4	6	4	3	2	2	64
NA	gi|16128922|	-168.1	34	49	14	60	65.8	NA	NA	9	11	7	13	1	5	NA	9	NA	2	3	NA	NA	60
NA	gi|16128924|	-2340.8	93	100+	163	3803	37.2	463	1340	93	187	105	236	91	139	78	210	59	102	51	246	403	3803
NA	gi|16128925|	-14.2	20	29	2	4	18.8	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	4
NA	gi|16128928|	-48.6	28	100+	4	29	16.3	1	5	1	3	3	4	1	2	NA	3	NA	1	1	1	3	29
NA	gi|16128929|	-40.1	7.9	9	4	7	77.9	NA	NA	NA	NA	NA	3	NA	2	NA	2	NA	NA	NA	NA	NA	7
NA	gi|16128946|	-138.8	38	52	10	21	47	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21
NA	gi|16128968|	-769.6	80	100+	52	1258	45.7	286	146	83	64	84	69	48	34	66	48	38	63	19	48	162	1258
NA	gi|16128970|	-378.6	95	100+	28	321	20.8	3	28	24	21	25	31	14	37	17	32	12	20	12	31	14	321
NA	gi|16128980|	-537.3	37	56	39	269	143.7	6	2	15	42	16	50	9	37	10	38	1	8	16	14	5	269
NA	gi|16128981|	-98.7	13	29	8	89	54.3	18	6	2	15	2	10	NA	8	NA	10	NA	1	4	3	10	89
NA	gi|16128982|	-884.6	87	94	63	807	41.1	167	158	42	46	53	42	19	29	23	36	9	39	20	23	101	807
NA	gi|16128983|	-194.3	44	57	16	39	46.7	14	3	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	2	17	39
NA	gi|16128984|	-24	13	16	3	5	39.2	NA	NA	NA	NA	NA	1	NA	1	NA	3	NA	NA	NA	NA	NA	5
NA	gi|16128997|	-25.1	20	20	3	4	26.9	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	2	NA	NA	NA	4
NA	gi|16128998|	-4.1	7.6	11	1	4	20.7	NA	NA	1	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	gi|16129008|	-60.3	51	53	6	17	18.9	NA	NA	2	2	1	8	NA	1	NA	2	NA	NA	NA	1	NA	17
NA	gi|16129011|	-392.6	66	85	32	184	57.9	52	NA	6	17	4	20	5	9	5	12	1	3	2	7	41	184
NA	gi|16129012|	-121.3	17	23	12	33	96.9	NA	NA	NA	10	NA	4	NA	5	NA	10	NA	NA	NA	NA	4	33
NA	gi|16129017|	-61.3	25	33	6	12	35.4	NA	1	NA	2	NA	2	NA	NA	NA	2	NA	NA	NA	NA	5	12
NA	gi|16129019|	-383.8	84	94	26	102	20.9	2	19	2	6	4	7	1	3	2	7	1	2	NA	14	32	102
NA	gi|16129022|	-11.3	4.3	5	1	3	40.9	NA	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	3
NA	gi|16129026|	-123.4	65	93	10	103	20.5	NA	15	9	10	4	12	3	11	3	11	2	4	6	4	9	103
NA	gi|16129027|	-63.7	36	43	5	26	24.3	NA	NA	5	1	5	1	3	2	1	2	1	3	NA	1	1	26
NA	gi|16129029|	-16	9.8	13	2	6	22.7	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA	1	NA	1	6
NA	gi|16129047|	-398	39	56	32	183	118.1	16	NA	13	30	14	35	2	21	1	28	1	4	11	3	4	183
